op_name,op_time,op_proportion
strided_slice,26061.591858035667,0.445055%
split,2063991.9569255768,35.246863%
squeeze,901.1705073017521,0.015389%
tuple,314.88579432095736,0.005377%
concatenate,107963.52186226276,1.843697%
nn.dense,523714.7031241979,8.943494%
add,1550936.7710857752,26.485402%
sigmoid,515827.8826385588,8.808811%
multiply,518896.77971392404,8.861219%
tanh,256401.28402730517,4.378574%
subtract,262078.6757681632,4.475527%
expand_dims,111.61617465183164,0.001906%
stack,28616.56872559196,0.488686%
